datetime,open_price,high_price,low_price,close_price,volume
2024-06-25 15:00:00,210.45,210.45,210.16,210.185,727775
2024-06-25 15:15:00,210.1875,210.345,209.96001,210.14011,1006229
2024-06-25 15:30:00,210.14,210.14,209.75011,209.89999,1173713
2024-06-25 15:45:00,209.905,210.050003,208.82001,209.076004,4728608
2024-06-26 09:30:00,211.44,212.39999,210.64,210.96989,6702101
2024-06-26 09:45:00,210.9514,211.92999,210.89999,211.53,2888295
2024-06-26 10:00:00,211.49001,212.17,211.37,212.13,2182971
2024-06-26 10:15:00,212.13,213.0,211.98,212.36,3560424
2024-06-26 10:30:00,212.37,213.42999,212.34399,212.735,2887423
2024-06-26 10:45:00,212.73,213.3474,212.61,213.19501,1985791
2024-06-26 11:00:00,213.19501,213.74001,213.029999,213.33,2389709
2024-06-26 11:15:00,213.33501,213.71989,213.17999,213.21001,1495519
2024-06-26 11:30:00,213.21001,213.655,213.029999,213.64799,1315538
2024-06-26 11:45:00,213.645,214.44,213.46001,214.27,2505864
2024-06-26 12:00:00,214.25999,214.78,213.98,214.75999,1700001
2024-06-26 12:15:00,214.7697,214.77,214.1105,214.345,1454389
2024-06-26 12:30:00,214.345,214.37,213.94,213.989,1165968
2024-06-26 12:45:00,213.98759,214.024002,213.265,213.83,1494598
2024-06-26 13:00:00,213.83,213.8698,213.59,213.62,813248
2024-06-26 13:15:00,213.61501,213.71001,213.23,213.56,798654
2024-06-26 13:30:00,213.5517,213.95599,213.49001,213.84399,1155513
2024-06-26 13:45:00,213.85001,214.059998,213.57001,214.012207,1069749
2024-06-26 14:00:00,214.0099945,214.7,213.94501,214.52499,1741111
2024-06-26 14:15:00,214.52499,214.86,214.2,214.35001,1960385
2024-06-26 14:30:00,214.345,214.53999,214.11,214.535,1086491
2024-06-26 14:45:00,214.5363,214.57001,214.020004,214.14999,1298294
2024-06-26 15:00:00,214.14999,214.16,213.32001,213.3999,1620040
2024-06-26 15:15:00,213.39999,213.46111,212.83,213.26199,1744084
2024-06-26 15:30:00,213.2899,213.33,212.98981,213.30251,1455098
